"Step","CostFourierVelModel_MLP_512_freqs_8_4 - train/loss","CostFourierVelModel_MLP_512_freqs_8_4 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_8_4 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_8_3 - train/loss","CostFourierVelModel_MLP_512_freqs_8_3 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_8_3 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_8_2 - train/loss","CostFourierVelModel_MLP_512_freqs_8_2 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_8_2 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_8_1 - train/loss","CostFourierVelModel_MLP_512_freqs_8_1 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_8_1 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_8_0 - train/loss","CostFourierVelModel_MLP_512_freqs_8_0 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_8_0 - train/loss__MAX"
"0","0.07761764526367188","0.07761764526367188","0.07761764526367188","0.09613168239593506","0.09613168239593506","0.09613168239593506","0.06602554768323898","0.06602554768323898","0.06602554768323898","0.09891799092292786","0.09891799092292786","0.09891799092292786","0.07271839678287506","0.07271839678287506","0.07271839678287506"
"1","0.06799408793449402","0.06799408793449402","0.06799408793449402","0.07501230388879776","0.07501230388879776","0.07501230388879776","0.07414628565311432","0.07414628565311432","0.07414628565311432","0.08006402850151062","0.08006402850151062","0.08006402850151062","0.0734202042222023","0.0734202042222023","0.0734202042222023"
"2","0.05555378273129463","0.05555378273129463","0.05555378273129463","0.07937745749950409","0.07937745749950409","0.07937745749950409","0.05232975259423256","0.05232975259423256","0.05232975259423256","0.08540443331003189","0.08540443331003189","0.08540443331003189","0.04979121685028076","0.04979121685028076","0.04979121685028076"
"3","0.04876668378710747","0.04876668378710747","0.04876668378710747","0.06117180734872818","0.06117180734872818","0.06117180734872818","0.05013897642493248","0.05013897642493248","0.05013897642493248","0.06528975069522858","0.06528975069522858","0.06528975069522858","0.0509631372988224","0.0509631372988224","0.0509631372988224"
"4","0.047069720923900604","0.047069720923900604","0.047069720923900604","0.06015223637223244","0.06015223637223244","0.06015223637223244","0.04750549793243408","0.04750549793243408","0.04750549793243408","0.06721311062574387","0.06721311062574387","0.06721311062574387","0.04717973992228508","0.04717973992228508","0.04717973992228508"
"5","0.04565137252211571","0.04565137252211571","0.04565137252211571","0.056345660239458084","0.056345660239458084","0.056345660239458084","0.04728737100958824","0.04728737100958824","0.04728737100958824","0.057759225368499756","0.057759225368499756","0.057759225368499756","0.04709984362125397","0.04709984362125397","0.04709984362125397"
"6","0.04428717866539955","0.04428717866539955","0.04428717866539955","0.05550788715481758","0.05550788715481758","0.05550788715481758","0.044777315109968185","0.044777315109968185","0.044777315109968185","0.05846702679991722","0.05846702679991722","0.05846702679991722","0.04512926563620567","0.04512926563620567","0.04512926563620567"
"7","0.045087557286024094","0.045087557286024094","0.045087557286024094","0.0554213710129261","0.0554213710129261","0.0554213710129261","0.04538586363196373","0.04538586363196373","0.04538586363196373","0.0555647574365139","0.0555647574365139","0.0555647574365139","0.04509555548429489","0.04509555548429489","0.04509555548429489"
"8","0.044225506484508514","0.044225506484508514","0.044225506484508514","0.0537819005548954","0.0537819005548954","0.0537819005548954","0.04368171840906143","0.04368171840906143","0.04368171840906143","0.05702543631196022","0.05702543631196022","0.05702543631196022","0.044222816824913025","0.044222816824913025","0.044222816824913025"
"9","0.04290984570980072","0.04290984570980072","0.04290984570980072","0.05355590581893921","0.05355590581893921","0.05355590581893921","0.043796051293611526","0.043796051293611526","0.043796051293611526","0.05458312854170799","0.05458312854170799","0.05458312854170799","0.04380593076348305","0.04380593076348305","0.04380593076348305"
"10","0.04226776212453842","0.04226776212453842","0.04226776212453842","0.05239518731832504","0.05239518731832504","0.05239518731832504","0.044083498418331146","0.044083498418331146","0.044083498418331146","0.05463383346796036","0.05463383346796036","0.05463383346796036","0.04320060834288597","0.04320060834288597","0.04320060834288597"
"11","0.042051367461681366","0.042051367461681366","0.042051367461681366","0.051150403916835785","0.051150403916835785","0.051150403916835785","0.04274467006325722","0.04274467006325722","0.04274467006325722","0.05252610892057419","0.05252610892057419","0.05252610892057419","0.042510587722063065","0.042510587722063065","0.042510587722063065"
"12","0.04210054874420166","0.04210054874420166","0.04210054874420166","0.05203032121062279","0.05203032121062279","0.05203032121062279","0.04198598489165306","0.04198598489165306","0.04198598489165306","0.05259270593523979","0.05259270593523979","0.05259270593523979","0.0417293906211853","0.0417293906211853","0.0417293906211853"
"13","0.041533708572387695","0.041533708572387695","0.041533708572387695","0.051105815917253494","0.051105815917253494","0.051105815917253494","0.041995104402303696","0.041995104402303696","0.041995104402303696","0.05134032666683197","0.05134032666683197","0.05134032666683197","0.04132503643631935","0.04132503643631935","0.04132503643631935"
"14","0.04075709730386734","0.04075709730386734","0.04075709730386734","0.05206762254238129","0.05206762254238129","0.05206762254238129","0.04102364927530289","0.04102364927530289","0.04102364927530289","0.05147508904337883","0.05147508904337883","0.05147508904337883","0.04125647619366646","0.04125647619366646","0.04125647619366646"
"15","0.040162745863199234","0.040162745863199234","0.040162745863199234","0.050964850932359695","0.050964850932359695","0.050964850932359695","0.04061303287744522","0.04061303287744522","0.04061303287744522","0.050808798521757126","0.050808798521757126","0.050808798521757126","0.04102051258087158","0.04102051258087158","0.04102051258087158"
"16","0.040479857474565506","0.040479857474565506","0.040479857474565506","0.050833091139793396","0.050833091139793396","0.050833091139793396","0.041080962866544724","0.041080962866544724","0.041080962866544724","0.05000298097729683","0.05000298097729683","0.05000298097729683","0.040844473987817764","0.040844473987817764","0.040844473987817764"
"17","0.040792159736156464","0.040792159736156464","0.040792159736156464","0.04909729212522507","0.04909729212522507","0.04909729212522507","0.04034985229372978","0.04034985229372978","0.04034985229372978","0.04932279884815216","0.04932279884815216","0.04932279884815216","0.040297601372003555","0.040297601372003555","0.040297601372003555"
"18","0.040790654718875885","0.040790654718875885","0.040790654718875885","0.04973161965608597","0.04973161965608597","0.04973161965608597","0.039881184697151184","0.039881184697151184","0.039881184697151184","0.051138926297426224","0.051138926297426224","0.051138926297426224","0.040792107582092285","0.040792107582092285","0.040792107582092285"
"19","0.0401114858686924","0.0401114858686924","0.0401114858686924","0.04988275468349457","0.04988275468349457","0.04988275468349457","0.04147212579846382","0.04147212579846382","0.04147212579846382","0.04801616817712784","0.04801616817712784","0.04801616817712784","0.040382035076618195","0.040382035076618195","0.040382035076618195"
"20","0.039978768676519394","0.039978768676519394","0.039978768676519394","0.05047767236828804","0.05047767236828804","0.05047767236828804","0.040187377482652664","0.040187377482652664","0.040187377482652664","0.046325210481882095","0.046325210481882095","0.046325210481882095","0.040128570050001144","0.040128570050001144","0.040128570050001144"
"21","0.0394168384373188","0.0394168384373188","0.0394168384373188","0.05052483454346657","0.05052483454346657","0.05052483454346657","0.040402770042419434","0.040402770042419434","0.040402770042419434","0.04534178599715233","0.04534178599715233","0.04534178599715233","0.0401255302131176","0.0401255302131176","0.0401255302131176"
"22","0.03963712602853775","0.03963712602853775","0.03963712602853775","0.0477425791323185","0.0477425791323185","0.0477425791323185","0.039909303188323975","0.039909303188323975","0.039909303188323975","0.0481879822909832","0.0481879822909832","0.0481879822909832","0.03993985801935196","0.03993985801935196","0.03993985801935196"
"23","0.03971157595515251","0.03971157595515251","0.03971157595515251","0.04587487876415253","0.04587487876415253","0.04587487876415253","0.03964773193001747","0.03964773193001747","0.03964773193001747","0.04400761052966118","0.04400761052966118","0.04400761052966118","0.03952448070049286","0.03952448070049286","0.03952448070049286"
"24","0.03945591673254967","0.03945591673254967","0.03945591673254967","0.04512007534503937","0.04512007534503937","0.04512007534503937","0.03935595601797104","0.03935595601797104","0.03935595601797104","0.043773967772722244","0.043773967772722244","0.043773967772722244","0.039396412670612335","0.039396412670612335","0.039396412670612335"
"25","0.03910107910633087","0.03910107910633087","0.03910107910633087","0.0431346632540226","0.0431346632540226","0.0431346632540226","0.039274197071790695","0.039274197071790695","0.039274197071790695","0.042105384171009064","0.042105384171009064","0.042105384171009064","0.039424385875463486","0.039424385875463486","0.039424385875463486"
"26","0.039745353162288666","0.039745353162288666","0.039745353162288666","0.042614538222551346","0.042614538222551346","0.042614538222551346","0.03866927698254585","0.03866927698254585","0.03866927698254585","0.040933094918727875","0.040933094918727875","0.040933094918727875","0.03920375555753708","0.03920375555753708","0.03920375555753708"
"27","0.039647068828344345","0.039647068828344345","0.039647068828344345","0.041547808796167374","0.041547808796167374","0.041547808796167374","0.03890615701675415","0.03890615701675415","0.03890615701675415","0.04057883471250534","0.04057883471250534","0.04057883471250534","0.03928833454847336","0.03928833454847336","0.03928833454847336"
"28","0.04036383703351021","0.04036383703351021","0.04036383703351021","0.040638722479343414","0.040638722479343414","0.040638722479343414","0.03911340609192848","0.03911340609192848","0.03911340609192848","0.04029021039605141","0.04029021039605141","0.04029021039605141","0.03917671740055084","0.03917671740055084","0.03917671740055084"
"29","0.040160730481147766","0.040160730481147766","0.040160730481147766","0.04021478071808815","0.04021478071808815","0.04021478071808815","0.03949228301644325","0.03949228301644325","0.03949228301644325","0.03985312208533287","0.03985312208533287","0.03985312208533287","0.03901972994208336","0.03901972994208336","0.03901972994208336"
"30","0.040210578590631485","0.040210578590631485","0.040210578590631485","0.039820265024900436","0.039820265024900436","0.039820265024900436","0.03946373611688614","0.03946373611688614","0.03946373611688614","0.04038606211543083","0.04038606211543083","0.04038606211543083","0.03890432044863701","0.03890432044863701","0.03890432044863701"
"31","0.039896801114082336","0.039896801114082336","0.039896801114082336","0.04021693021059036","0.04021693021059036","0.04021693021059036","0.039269980043172836","0.039269980043172836","0.039269980043172836","0.04010790213942528","0.04010790213942528","0.04010790213942528","0.03883982077240944","0.03883982077240944","0.03883982077240944"
"32","0.03874742239713669","0.03874742239713669","0.03874742239713669","0.04013434797525406","0.04013434797525406","0.04013434797525406","0.04042607545852661","0.04042607545852661","0.04042607545852661","0.03991004452109337","0.03991004452109337","0.03991004452109337","0.0391463041305542","0.0391463041305542","0.0391463041305542"
"33","0.038986172527074814","0.038986172527074814","0.038986172527074814","0.03921819105744362","0.03921819105744362","0.03921819105744362","0.03933458402752876","0.03933458402752876","0.03933458402752876","0.04099710285663605","0.04099710285663605","0.04099710285663605","0.03892775997519493","0.03892775997519493","0.03892775997519493"
"34","0.03942255303263664","0.03942255303263664","0.03942255303263664","0.038995519280433655","0.038995519280433655","0.038995519280433655","0.03918014094233513","0.03918014094233513","0.03918014094233513","0.03913866728544235","0.03913866728544235","0.03913866728544235","0.038413651287555695","0.038413651287555695","0.038413651287555695"
"35","0.03854444995522499","0.03854444995522499","0.03854444995522499","0.03846175968647003","0.03846175968647003","0.03846175968647003","0.03882436826825142","0.03882436826825142","0.03882436826825142","0.03956400230526924","0.03956400230526924","0.03956400230526924","0.03868890926241875","0.03868890926241875","0.03868890926241875"
"36","0.03912321478128433","0.03912321478128433","0.03912321478128433","0.038818057626485825","0.038818057626485825","0.038818057626485825","0.03914409503340721","0.03914409503340721","0.03914409503340721","0.038674496114254","0.038674496114254","0.038674496114254","0.03877641260623932","0.03877641260623932","0.03877641260623932"
"37","0.03866661712527275","0.03866661712527275","0.03866661712527275","0.03892989829182625","0.03892989829182625","0.03892989829182625","0.03831636533141136","0.03831636533141136","0.03831636533141136","0.038933396339416504","0.038933396339416504","0.038933396339416504","0.0389905609190464","0.0389905609190464","0.0389905609190464"
"38","0.03850940987467766","0.03850940987467766","0.03850940987467766","0.03867850452661514","0.03867850452661514","0.03867850452661514","0.03873191773891449","0.03873191773891449","0.03873191773891449","0.038397133350372314","0.038397133350372314","0.038397133350372314","0.0391523502767086","0.0391523502767086","0.0391523502767086"
"39","0.038801614195108414","0.038801614195108414","0.038801614195108414","0.03825954347848892","0.03825954347848892","0.03825954347848892","0.03856213018298149","0.03856213018298149","0.03856213018298149","0.038756441324949265","0.038756441324949265","0.038756441324949265","0.03873046860098839","0.03873046860098839","0.03873046860098839"
"40","0.038490936160087585","0.038490936160087585","0.038490936160087585","0.03811667859554291","0.03811667859554291","0.03811667859554291","0.03857249394059181","0.03857249394059181","0.03857249394059181","0.03909539431333542","0.03909539431333542","0.03909539431333542","0.03848404437303543","0.03848404437303543","0.03848404437303543"
"41","0.03856809064745903","0.03856809064745903","0.03856809064745903","0.0380987673997879","0.0380987673997879","0.0380987673997879","0.038631003350019455","0.038631003350019455","0.038631003350019455","0.03908051550388336","0.03908051550388336","0.03908051550388336","0.038056354969739914","0.038056354969739914","0.038056354969739914"
"42","0.03885117545723915","0.03885117545723915","0.03885117545723915","0.03816843405365944","0.03816843405365944","0.03816843405365944","0.038231540471315384","0.038231540471315384","0.038231540471315384","0.039431605488061905","0.039431605488061905","0.039431605488061905","0.038229260593652725","0.038229260593652725","0.038229260593652725"
"43","0.03815247491002083","0.03815247491002083","0.03815247491002083","0.0378781296312809","0.0378781296312809","0.0378781296312809","0.038252390921115875","0.038252390921115875","0.038252390921115875","0.038481611758470535","0.038481611758470535","0.038481611758470535","0.038166966289281845","0.038166966289281845","0.038166966289281845"
"44","0.03839404508471489","0.03839404508471489","0.03839404508471489","0.03810553997755051","0.03810553997755051","0.03810553997755051","0.038372255861759186","0.038372255861759186","0.038372255861759186","0.03860752657055855","0.03860752657055855","0.03860752657055855","0.038431424647569656","0.038431424647569656","0.038431424647569656"
"45","0.03858031705021858","0.03858031705021858","0.03858031705021858","0.03774081543087959","0.03774081543087959","0.03774081543087959","0.038626570254564285","0.038626570254564285","0.038626570254564285","0.03901981562376022","0.03901981562376022","0.03901981562376022","0.0380447618663311","0.0380447618663311","0.0380447618663311"
"46","0.03837496414780617","0.03837496414780617","0.03837496414780617","0.03795143589377403","0.03795143589377403","0.03795143589377403","0.037813544273376465","0.037813544273376465","0.037813544273376465","0.03999418392777443","0.03999418392777443","0.03999418392777443","0.037676822394132614","0.037676822394132614","0.037676822394132614"
"47","0.0393330417573452","0.0393330417573452","0.0393330417573452","0.03796903043985367","0.03796903043985367","0.03796903043985367","0.03840223699808121","0.03840223699808121","0.03840223699808121","0.03954685106873512","0.03954685106873512","0.03954685106873512","0.03797806054353714","0.03797806054353714","0.03797806054353714"
"48","0.03857923299074173","0.03857923299074173","0.03857923299074173","0.037809599190950394","0.037809599190950394","0.037809599190950394","0.03873496502637863","0.03873496502637863","0.03873496502637863","0.0389917716383934","0.0389917716383934","0.0389917716383934","0.03837372362613678","0.03837372362613678","0.03837372362613678"
"49","0.03863406926393509","0.03863406926393509","0.03863406926393509","0.03756161406636238","0.03756161406636238","0.03756161406636238","0.03831801936030388","0.03831801936030388","0.03831801936030388","0.038630858063697815","0.038630858063697815","0.038630858063697815","0.03812364488840103","0.03812364488840103","0.03812364488840103"